Issue ID,Product,Component,Assignee,Status,Resolution,Summary,Changed
46832,Impress,ui,wolframgarten,CLOSED,FIXED,Showstopper: Crash when deleting slides in slide browser in outline view,2005/6/1 10:16
60997,Internationalization,helpcontent,christian.guenther,CLOSED,FIXED,[DE]: Errors on "Diawechsel mit Zeitnahme" in Germanophon Impress help,2013/8/7 15:01
40859,Impress,ui,b.osi.ooo,CLOSED,FIXED,FixedText error: Impress - Dimensioning,2005/3/10 10:00
100251,Installation,code,ingo.schmidt-rosbiegal,CLOSED,FIXED,epm packaging broken,2009/7/22 13:48
48939,Impress,code,wolframgarten,CLOSED,FIXED,Slide wipe and push transitions still slow on inferior hardware,2005/11/14 12:30
21741,Math,code,michael.ruess,CLOSED,FIXED,base fontsize [de-Version: Format|Schriftgrößen|Basisgröße] not applied to greek letters by default,2013/8/7 14:55
34250,Impress,ui,christian.guenther,CLOSED,FIXED,Multi pane view: I can't drag out the Tasks pain.,2004/12/3 17:22
63526,Installation,code,Joost.Andrae,CLOSED,FIXED,rename of en-US builds within pack process,2006/5/5 11:19
44578,Impress,save-export,christian.guenther,CLOSED,FIXED,Migrate OOo 2.x shape effects and transitions to OOo 1.x during export,2005/4/19 18:08
41393,Internationalization,ui,ivo.hinkelmann,CLOSED,FIXED,many broken UTF8 encodings,2013/8/7 15:00
87990,Internationalization,code,aijin.kim,RESOLVED,FIXED,[SV] Pootle Translation for OO.o 3.0,2013/8/7 15:02
54112,Native-Lang,cs,issues,CLOSED,FIXED,cs vs. sk: The same extras used for more localizations,2012/2/9 0:20
47161,Impress,code,wolframgarten,CLOSED,FIXED,White text on white background while editing slides,2006/11/3 15:21
61633,Impress,save-export,wolframgarten,CLOSED,FIXED,transparency gets not exported to PDF in all cases,2013/8/7 15:20
14139,Math,ui,michael.ruess,CLOSED,FIXED,"Equation: selection toolbox interface is confusing (add a seperator, please)",2013/8/7 14:55
77418,Installation,code,joerg.skottke,CLOSED,FIXED,packaging shared extensions on Solaris,2007/11/1 10:29
32109,Impress,ui,wolframgarten,CLOSED,FIXED,Bitmaps in Impress Slide Sorter not displayed correctly,2004/9/17 12:53
38511,Impress,ui,christian.guenther,CLOSED,FIXED,I can't switch in a bullet with Bullets and numbering.,2005/2/1 10:01
43124,Impress,configuration,christian.guenther,CLOSED,FIXED,order of slides for individual presentation was lost,2007/2/9 12:06
47148,Internationalization,code,oc,CLOSED,FIXED,Align locale data to CLDR,2013/8/7 15:00
113148,Internationalization,code,ivo.hinkelmann,RESOLVED,FIXED,British English (en-GB) GSI file for OOo 3.3,2011/3/14 15:59
64114,Infrastructure,Bugzilla,non-migrated,RESOLVED,FIXED,attachments containing '%' in filename will not be accessible by left mouseclick on issue tracker server.,2009/1/19 14:00
51912,Installation,code,marc.neumann,CLOSED,FIXED,wizards: null pointer on database report wizard,2006/2/3 9:26
